date,open,high,low,close,volume,adj
2010-01-04,686.0,693.0,681.0,686.0,14995200.0,686.0
2010-01-05,699.0,710.0,692.0,694.0,52393600.0,694.0
2010-01-06,701.0,717.0,695.0,712.0,38357600.0,712.0
2010-01-07,720.0,741.0,716.0,736.0,55679400.0,736.0
2010-01-08,750.0,752.0,736.0,750.0,52730100.0,750.0
2010-01-12,755.0,783.0,753.0,778.0,59255800.0,778.0
2010-01-13,763.0,776.0,752.0,754.0,43557800.0,754.0
2010-01-14,773.0,778.0,765.0,769.0,29527500.0,769.0
2010-01-15,773.0,775.0,758.0,775.0,34867900.0,775.0
2010-01-18,758.0,761.0,750.0,753.0,27799800.0,753.0
2010-01-19,755.0,756.0,734.0,739.0,27000000.0,739.0
2010-01-20,730.0,737.0,708.0,711.0,52641100.0,711.0
2010-01-21,702.0,727.0,695.0,724.0,59367400.0,724.0
2010-01-22,697.0,709.0,693.0,707.0,58050400.0,707.0
2010-01-25,692.0,703.0,691.0,698.0,35642000.0,698.0
2010-01-26,702.0,718.0,691.0,691.0,43958900.0,691.0
2010-01-27,693.0,701.0,684.0,685.0,34158000.0,685.0
2010-01-28,693.0,703.0,688.0,691.0,29836800.0,691.0
2010-01-29,685.0,693.0,682.0,684.0,28781100.0,684.0
2010-02-01,684.0,687.0,670.0,679.0,33779600.0,679.0
2010-02-02,689.0,707.0,685.0,705.0,45460500.0,705.0
2010-02-03,709.0,715.0,685.0,685.0,55651000.0,685.0
2010-02-04,683.0,685.0,658.0,666.0,40062500.0,666.0
2010-02-05,636.0,648.0,631.0,637.0,54477400.0,637.0
2010-02-08,642.0,652.0,636.0,644.0,35534000.0,644.0
2010-02-09,635.0,646.0,633.0,641.0,25863200.0,641.0
2010-02-10,651.0,653.0,634.0,634.0,24312800.0,634.0
2010-02-12,635.0,644.0,635.0,641.0,24504500.0,641.0
2010-02-15,639.0,641.0,631.0,632.0,15046100.0,632.0
2010-02-16,634.0,645.0,633.0,639.0,16155100.0,639.0
2010-02-17,649.0,663.0,645.0,659.0,26606200.0,659.0
2010-02-18,662.0,670.0,657.0,659.0,19404100.0,659.0
2010-02-19,661.0,663.0,640.0,643.0,20763300.0,643.0
2010-02-22,659.0,664.0,656.0,658.0,17944300.0,658.0
2010-02-23,662.0,669.0,658.0,666.0,22102200.0,666.0
2010-02-24,657.0,659.0,651.0,656.0,17878400.0,656.0
2010-02-25,656.0,659.0,643.0,646.0,20887900.0,646.0
2010-02-26,657.0,659.0,649.0,656.0,25224300.0,656.0
2010-03-01,655.0,662.0,653.0,657.0,14670800.0,657.0
2010-03-02,659.0,660.0,646.0,654.0,16062800.0,654.0
2010-03-03,650.0,654.0,638.0,640.0,22983300.0,640.0
2010-03-04,644.0,645.0,631.0,633.0,28145000.0,633.0
2010-03-05,641.0,647.0,638.0,646.0,20295600.0,646.0
2010-03-08,660.0,663.0,656.0,662.0,25363100.0,662.0
2010-03-09,664.0,665.0,658.0,660.0,12973900.0,660.0
