取引種別,入日付,入値,数量,初期ストップ,出日付,出値,損益(円),R倍数,%損益,期間
long,2010-03-30,48.300000000000004,100,44,2010-04-01,53.800000000000004,550.0,1.2790697674418592,11.387163561076603,3
long,2010-04-02,54.0,100,49,2010-04-07,51.0,-300.0,-0.6,-5.555555555555555,4
short,2010-05-06,56.9,100,59,2010-05-11,53.0,389.9999999999999,1.8571428571428552,6.854130052724075,3
short,2010-07-26,54.800000000000004,100,58,2010-07-28,48.5,630.0000000000005,1.968750000000004,11.49635036496351,3
short,2010-11-12,47.0,100,51,2010-11-17,51,-400.0,-1.0,-8.51063829787234,4
short,2010-11-18,51.6,100,56,2010-11-19,55,-339.9999999999999,-0.7727272727272727,-6.589147286821702,2
long,2011-01-06,71.10000000000001,100,63,2011-01-24,63.99999999999999,-710.0000000000016,-0.8765432098765442,-9.985935302391018,12
long,2011-01-26,65.8,100,59,2011-02-03,64.5,-129.99999999999972,-0.19117647058823495,-1.9756838905775034,7
short,2011-02-23,70.0,100,73,2011-02-23,73,-300.0,-1.0,-4.285714285714286,1
short,2011-04-08,60.0,100,66,2011-04-11,59.0,100.0,0.16666666666666666,1.6666666666666667,2
long,2011-05-23,53.0,100,49,2011-05-24,60.0,700.0,1.75,13.20754716981132,2
short,2011-06-08,56.0,100,61,2011-06-10,57.0,-100.0,-0.2,-1.7857142857142856,3
short,2011-06-13,56.0,100,61,2011-06-14,55.0,100.0,0.2,1.7857142857142856,2
long,2011-07-13,55.0,100,51,2011-07-20,56.2,120.00000000000028,0.3000000000000007,2.181818181818187,2
long,2011-07-21,56.5,100,52,2011-07-28,52,-450.0,-1.0,-7.964601769911504,4
long,2011-08-01,55.7,100,52,2011-08-01,52,-370.0000000000003,-1.0,-6.642728904847401,1
long,2011-08-03,57.800000000000004,100,54,2011-08-04,54.0,-380.00000000000045,-1.0,-6.574394463667827,2
